NOTE! USE TRIAL THREE FOR SURE,,Ix, Iz,,,Ix, Iz,,,Ix, Iz,,,Iy, Iz,,,Iy, Iz,,,
6.03E-06,-0.00647,9.77E-06,-0.01005,,,9.77E-06,-0.01005,,,9.77E-06,-0.00971,,,9.77E-06,-0.01704,,,9.77E-06,-0.01707,,,
7.08E-06,-0.00747,1.15E-05,-0.01171,,,1.15E-05,-0.01173,,,1.15E-05,-0.01139,,,1.15E-05,-0.01813,,,1.15E-05,-0.01817,,,
8.32E-06,-0.00866,1.35E-05,-0.01364,,,1.35E-05,-0.01368,,,1.35E-05,-0.01333,,,1.35E-05,-0.01945,,,1.35E-05,-0.0195,,,
9.77E-06,-0.01005,1.59E-05,-0.01592,,,1.59E-05,-0.01598,,,1.59E-05,-0.01561,,,1.59E-05,-0.02036,,,1.59E-05,-0.02036,,,
1.15E-05,-0.01171,1.86E-05,-0.01853,,,1.86E-05,-0.01862,,,1.86E-05,-0.01822,,,1.86E-05,-0.02036,,,1.86E-05,-0.02036,,,
1.35E-05,-0.01364,2.19E-05,-0.02036,,,2.19E-05,-0.02036,,,2.19E-05,-0.02036,,,2.19E-05,-0.02036,,,2.19E-05,-0.02036,,,
1.59E-05,-0.01592,2.57E-05,-0.02036,,,2.57E-05,-0.02036,,,2.57E-05,-0.02036,,,2.57E-05,-0.02036,,,2.57E-05,-0.02036,,,
1.86E-05,-0.01853,3.02E-05,-0.02036,,,3.02E-05,-0.02036,,,3.02E-05,-0.02036,,,3.02E-05,-0.02036,,,3.02E-05,-0.02036,,,
2.19E-05,-0.02036,3.55E-05,-0.02036,,,3.55E-05,-0.02036,,,3.55E-05,-0.02036,,,3.55E-05,-0.02036,,,3.55E-05,-0.02036,,,
2.57E-05,-0.02036,4.17E-05,-0.02036,,,4.17E-05,-0.02036,,,4.17E-05,-0.02036,,,4.17E-05,-0.02036,,,4.17E-05,-0.02036,,,
3.02E-05,-0.02036,4.90E-05,-0.02036,,,4.90E-05,-0.02036,,,4.90E-05,-0.02036,,,4.90E-05,-0.02036,,,4.90E-05,-0.02036,,,
3.55E-05,-0.02036,5.76E-05,-0.02036,,,5.76E-05,-0.02036,,,5.76E-05,-0.02036,,,5.76E-05,-0.02036,,,5.76E-05,-0.02036,,,
4.17E-05,-0.02036,6.76E-05,-0.02036,,,6.76E-05,-0.02036,,,6.76E-05,-0.02036,,,6.76E-05,-0.02036,,,6.76E-05,-0.02036,,,
4.90E-05,-0.02036,7.95E-05,-0.02036,,,7.95E-05,-0.02036,,,7.95E-05,-0.02036,,,7.95E-05,-0.02036,,,7.95E-05,-0.02036,,,
5.76E-05,-0.02036,9.34E-05,-0.02036,,,9.34E-05,-0.02036,,,9.34E-05,-0.02036,,,9.34E-05,-0.02036,,,9.34E-05,-0.02036,,,
6.76E-05,-0.02036,0.00010965,-0.02036,,,0.00010965,-0.02036,,,0.00010965,-0.02036,,,0.00010965,-0.02036,,,0.00010965,-0.02036,,,
7.95E-05,-0.02036,0.0001288,-0.02036,,,0.0001288,-0.02036,,,0.0001288,-0.02036,,,0.0001288,-0.02036,,,0.0001288,-0.02036,,,
9.34E-05,-0.02036,0.00015135,-0.02036,,,0.00015135,-0.02036,,,0.00015135,-0.02036,,,0.00015135,-0.02036,,,0.00015135,-0.02036,,,
0.00010965,-0.02036,0.00017785,-0.02036,,,0.00017785,-0.02036,,,0.00017785,-0.02036,,,0.00017785,-0.02036,,,0.00017785,-0.02036,,,
0.0001288,-0.02036,0.000209,-0.02036,,,0.000209,-0.02036,,,0.000209,-0.02036,,,0.000209,-0.02036,,,0.000209,-0.02036,,,
0.00015135,-0.02036,0.0002455,-0.02036,,,0.0002455,-0.02036,,,0.0002455,-0.02036,,,0.0002455,-0.02036,,,0.0002455,-0.02036,,,
0.00017785,-0.02036,0.0002885,-0.02036,,,0.0002885,-0.02036,,,0.0002885,-0.02036,,,0.0002885,-0.02036,,,0.0002885,-0.02036,,,
0.000209,-0.02036,0.000339,-0.02036,,,0.000339,-0.02036,,,0.000339,-0.02036,,,0.000339,-0.02036,,,0.000339,-0.02036,,,
0.0002455,-0.02036,0.000398,-0.02036,,,0.000398,-0.02036,,,0.000398,-0.02036,,,0.000398,-0.02036,,,0.000398,-0.02036,,,
0.0002885,-0.02036,0.0004675,-0.02036,,,0.0004675,-0.02036,,,0.0004675,-0.02036,,,0.0004675,-0.02036,,,0.0004675,-0.02036,,,
0.000339,-0.02036,0.0005495,-0.02036,,,0.0005495,-0.02036,,,0.0005495,-0.02036,,,0.0005495,-0.02036,,,0.0005495,-0.02036,,,
0.000398,-0.02036,0.0006455,-0.02036,,,0.0006455,-0.02036,,,0.0006455,-0.02036,,,0.0006455,-0.02036,,,0.0006455,-0.02036,,,
0.0004675,-0.02036,0.0007585,-0.02036,,,0.0007585,-0.02036,,,0.0007585,-0.02036,,,0.0007585,-0.02036,,,0.0007585,-0.02036,,,
0.0005495,-0.02036,0.0008915,-0.02036,,,0.0008915,-0.02036,,,0.0008915,-0.02036,,,0.0008915,-0.02036,,,0.0008915,-0.02036,,,
0.0006455,-0.02036,0.001047,-0.02036,,,0.001047,-0.02036,,,0.001047,-0.02036,,,0.001047,-0.02036,,,0.001047,-0.02036,,,
0.0007585,-0.02036,0.0012305,-0.02036,,,0.0012305,-0.02036,,,0.0012305,-0.02036,,,0.0012305,-0.02036,,,0.0012305,-0.02036,,,
0.0008915,-0.02036,0.0014455,-0.02036,,,0.0014455,-0.02036,,,0.0014455,-0.02036,,,0.0014455,-0.02036,,,0.0014455,-0.02036,,,
0.001047,-0.02036,0.001698,-0.02036,,,0.001698,-0.02036,,,0.001698,-0.02036,,,0.001698,-0.02036,,,0.001698,-0.02036,,,
0.0012305,-0.02036,0.0019955,-0.02036,,,0.0019955,-0.02036,,,0.0019955,-0.02036,,,0.0019955,-0.02036,,,0.0019955,-0.02036,,,
0.0014455,-0.02036,0.002345,-0.02036,,,0.002345,-0.02036,,,0.002345,-0.02036,,,0.002345,-0.02036,,,0.002345,-0.02036,,,
0.001698,-0.02036,0.002755,-0.02036,,,0.002755,-0.02036,,,0.002755,-0.02036,,,0.002755,-0.02036,,,0.002755,-0.02036,,,
0.0019955,-0.02036,0.003235,-0.02036,,,0.003235,-0.02036,,,0.003235,-0.02036,,,0.003235,-0.02036,,,0.003235,-0.02036,,,
0.002345,-0.02036,0.0038,-0.02036,,,0.0038,-0.02036,,,0.0038,-0.02036,,,0.0038,-0.02036,,,0.0038,-0.02036,,,
0.002755,-0.02036,0.004465,-0.02036,,,0.004465,-0.02036,,,0.004465,-0.02036,,,0.004465,-0.02036,,,0.004465,-0.02036,,,
0.003235,-0.02036,0.00525,-0.02036,,,0.00525,-0.02036,,,0.00525,-0.02036,,,0.00525,-0.02036,,,0.00525,-0.02036,,,
0.0038,-0.02036,0.006165,-0.02036,,,0.006165,-0.02036,,,0.006165,-0.02036,,,0.006165,-0.02036,,,0.006165,-0.02036,,,
0.004465,-0.02036,0.007245,-0.02036,,,0.007245,-0.02036,,,0.007245,-0.02036,,,0.007245,-0.02036,,,0.007245,-0.02036,,,
