Run 1
Vb, Ib, Ie, Ic
4.0,5.3e-08,-6e-10,-5.36e-08
4.05,4.8e-08,-5e-10,-4.85e-08
4.1,5.1e-08,-8e-10,-5.18e-08
4.15,5.2e-08,-8e-10,-5.28e-08
4.2,4.8e-08,-6e-10,-4.86e-08
4.25,5e-08,-9e-10,-5.09e-08
4.3,4.9e-08,-7e-10,-4.97e-08
4.35,5.1e-08,-9e-10,-5.19e-08
4.4,5.6e-08,-8e-10,-5.68e-08
4.45,5.4e-08,-7e-10,-5.47e-08
4.5,4.9e-08,-8e-10,-4.98e-08
4.55,5.7e-08,-7e-10,-5.77e-08
4.6,5.5e-08,-7e-10,-5.57e-08
4.65,5e-08,-6e-10,-5.06e-08
4.7,5.6e-08,-5e-10,-5.65e-08
4.75,5.8e-08,-5e-10,-5.85e-08
4.8,5.8e-08,-9e-10,-5.89e-08
4.85,5.9e-08,-7e-10,-5.97e-08
4.9,6.3e-08,-7e-10,-6.37e-08
4.95,5.8e-08,-8e-10,-5.88e-08
5.0,6.2e-08,-7e-10,-6.27e-08
Run 4
Vb, Ib, Ie, Ic
0.0,-1.56e-08,-5e-10,1.51e-08
0.05,5.9e-09,-7e-10,-6.6e-09
0.1,8.2e-09,-7e-10,-8.9e-09
0.15,1.15e-08,-9e-10,-1.24e-08
0.2,1.24e-08,-8e-10,-1.32e-08
0.25,1.53e-08,-7e-10,-1.6e-08
0.3,1.87e-08,-6e-10,-1.93e-08
0.35,1.89e-08,-8e-10,-1.97e-08
0.4,2.18e-08,-8e-10,-2.26e-08
0.45,2.31e-08,-4e-10,-2.35e-08
0.5,2.7e-08,-5e-10,-2.75e-08
0.55,2.83e-08,-7e-10,-2.9e-08
0.6,2.96e-08,-6e-10,-3.02e-08
0.65,3.15e-08,-8e-10,-3.23e-08
0.7,3.55e-08,-6e-10,-3.61e-08
0.75,3.25e-08,-4e-10,-3.29e-08
0.8,3.81e-08,-7e-10,-3.88e-08
0.85,3.74e-08,-1e-09,-3.84e-08
0.9,3.92e-08,-5e-10,-3.97e-08
0.95,4.1e-08,-6e-10,-4.16e-08
1.0,4.73e-08,-5e-10,-4.78e-08
1.05,4.74e-08,-6e-10,-4.8e-08
1.1,5.11e-08,-5e-10,-5.16e-08
1.15,5.32e-08,-4e-10,-5.36e-08
1.2,5.39e-08,-6e-10,-5.45e-08
1.25,6.36e-08,-4e-10,-6.4e-08
1.3,6.92e-08,-5e-10,-6.97e-08
1.35,6.84e-08,-7e-10,-6.91e-08
1.4,7.75e-08,-8e-10,-7.83e-08
1.45,6.61e-08,-6e-10,-6.67e-08
1.5,7.24e-08,-7e-10,-7.31e-08
