Run 1,,,,,,Run 2,,,,,,Run 3,,,,,,Run 4,,,,
Vb, Ib1,Ie, Ie,Ic1,,Vb, Ib2, Ie,Ie,Ic2,,Vb, Ib3, Ie,Ie,Ic3,,Vb, Ib4, Ie,Ie,Ic4
4.1,7.57E-05,2.04E-02,-0.02036,2.03E-02,,4.1,7.59E-05,-0.02036,2.04E-02,2.03E-02,,4.1,7.61E-05,-0.02036,2.04E-02,2.03E-02,,4.1,7.61E-05,-0.02036,2.04E-02,2.03E-02
4.15,7.71E-05,2.04E-02,-0.02036,2.03E-02,,4.15,7.73E-05,-0.02036,2.04E-02,2.03E-02,,4.15,7.75E-05,-0.02036,2.04E-02,2.03E-02,,4.15,7.76E-05,-0.02036,2.04E-02,2.03E-02
4.2,7.94E-05,2.04E-02,-0.02036,2.03E-02,,4.2,7.95E-05,-0.02036,2.04E-02,2.03E-02,,4.2,7.97E-05,-0.02036,2.04E-02,2.03E-02,,4.2,7.99E-05,-0.02036,2.04E-02,2.03E-02
4.25,8.27E-05,2.04E-02,-0.02036,2.03E-02,,4.25,8.28E-05,-0.02036,2.04E-02,2.03E-02,,4.25,8.31E-05,-0.02036,2.04E-02,2.03E-02,,4.25,8.33E-05,-0.02036,2.04E-02,2.03E-02
4.3,8.73E-05,2.04E-02,-0.02036,2.03E-02,,4.3,8.74E-05,-0.02036,2.04E-02,2.03E-02,,4.3,8.77E-05,-0.02036,2.04E-02,2.03E-02,,4.3,8.81E-05,-0.02036,2.04E-02,2.03E-02
4.35,9.34E-05,2.04E-02,-0.02036,2.03E-02,,4.35,9.35E-05,-0.02036,2.04E-02,2.03E-02,,4.35,9.39E-05,-0.02036,2.04E-02,2.03E-02,,4.35,9.43E-05,-0.02036,2.04E-02,2.03E-02
4.4,0.0001009,2.04E-02,-0.02036,2.03E-02,,4.4,0.000101,-0.02036,2.04E-02,2.03E-02,,4.4,0.0001014,-0.02036,2.04E-02,2.03E-02,,4.4,0.000102,-0.02036,2.04E-02,2.03E-02
4.45,0.00011,2.04E-02,-0.02036,2.03E-02,,4.45,0.0001101,-0.02036,2.04E-02,2.02E-02,,4.45,0.0001105,-0.02036,2.04E-02,2.02E-02,,4.45,0.0001112,-0.02036,2.04E-02,2.02E-02
4.5,0.0001219,2.04E-02,-0.02036,2.02E-02,,4.5,0.0001221,-0.02036,2.04E-02,2.02E-02,,4.5,0.0001226,-0.02036,2.04E-02,2.02E-02,,4.5,0.0001234,-0.02036,2.04E-02,2.02E-02
4.55,0.000142,2.04E-02,-0.02036,2.02E-02,,4.55,0.0001424,-0.02036,2.04E-02,2.02E-02,,4.55,0.0001431,-0.02036,2.04E-02,2.02E-02,,4.55,0.0001444,-0.02036,2.04E-02,2.02E-02
4.6,0.0001867,2.04E-02,-0.02036,2.02E-02,,4.6,0.0001867,-0.02036,2.04E-02,2.02E-02,,4.6,0.0001881,-0.02036,2.04E-02,2.02E-02,,4.6,0.0001916,-0.02036,2.04E-02,2.02E-02
4.65,0.000304,2.04E-02,-0.02036,2.01E-02,,4.65,0.000303,-0.02036,2.04E-02,2.01E-02,,4.65,0.000306,-0.02036,2.04E-02,2.01E-02,,4.65,0.000315,-0.02036,2.04E-02,2.00E-02
4.7,0.000547,2.04E-02,-0.02036,1.98E-02,,4.7,0.000543,-0.02036,2.04E-02,1.98E-02,,4.7,0.00055,-0.02036,2.04E-02,1.98E-02,,4.7,0.000569,-0.02036,2.04E-02,1.98E-02
4.75,0.000978,2.04E-02,-0.02036,1.94E-02,,4.75,0.000969,-0.02036,2.04E-02,1.94E-02,,4.75,0.000983,-0.02036,2.04E-02,1.94E-02,,4.75,0.001012,-0.02036,2.04E-02,1.93E-02
4.8,0.001559,2.04E-02,-0.02036,1.88E-02,,4.8,0.001548,-0.02036,2.04E-02,1.88E-02,,4.8,0.001562,-0.02036,2.04E-02,1.88E-02,,4.8,0.001602,-0.02036,2.04E-02,1.88E-02
4.85,0.00233,2.04E-02,-0.02036,1.80E-02,,4.85,0.00231,-0.02036,2.04E-02,1.81E-02,,4.85,0.00233,-0.02036,2.04E-02,1.80E-02,,4.85,0.00238,-0.02036,2.04E-02,1.80E-02
4.9,0.00307,2.04E-02,-0.02036,1.73E-02,,4.9,0.00306,-0.02036,2.04E-02,1.73E-02,,4.9,0.00308,-0.02036,2.04E-02,1.73E-02,,4.9,0.00313,-0.02036,2.04E-02,1.72E-02
4.95,0.00387,2.04E-02,-0.02036,1.65E-02,,4.95,0.00386,-0.02036,2.04E-02,1.65E-02,,4.95,0.00387,-0.02036,2.04E-02,1.65E-02,,4.95,0.00393,-0.02036,2.04E-02,1.64E-02
5,0.0047,2.04E-02,-0.02036,1.57E-02,,5,0.00469,-0.02036,2.04E-02,1.57E-02,,5,0.00471,-0.02036,2.04E-02,1.57E-02,,5,0.00478,-0.02036,2.04E-02,1.56E-02
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
