Vout, Iout
4.5325,1.4e-07
4.54,1.49e-07
4.55,1.54e-07
4.5575,1.56e-07
4.565,1.62e-07
4.575,1.65e-07
4.5825,1.71e-07
4.59,1.77e-07
4.6,1.78e-07
4.6075,1.84e-07
4.615,1.86e-07
4.625,1.99e-07
4.6325,2.04e-07
4.64,2.04e-07
4.65,2.1e-07
4.6575,2.07e-07
4.665,2.18e-07
4.675,2.24e-07
4.6825,2.31e-07
4.69,2.31e-07
4.7,2.41e-07
4.7075,2.48e-07
4.715,2.55e-07
4.725,2.65e-07
4.7325,2.67e-07
4.74,2.7e-07
4.75,2.75e-07
4.7575,2.89e-07
4.7675,3.03e-07
4.775,3.05e-07
4.7825,3.11e-07
4.7925,3.24e-07
4.8,3.35e-07
4.8075,3.52e-07
4.8175,3.66e-07
4.825,3.83e-07
4.8325,4.02e-07
4.8425,4.38e-07
4.85,4.58e-07
4.8575,4.85e-07
4.8675,5.31e-07
4.875,5.67e-07
4.8825,6.17e-07
4.8925,6.92e-07
4.9,7.6e-07
4.9075,8.31e-07
4.9175,9.46e-07
4.925,1.051e-06
4.9325,1.165e-06
4.9425,1.329e-06
4.95,1.475e-06
4.9575,1.63e-06
4.9675,1.861e-06
4.975,2.17e-06
4.9825,2.4e-06
4.9925,2.74e-06
5.0,3.02e-06
